Symbol,Security_x,GICS Sector,GICS Sub-Industry,US HQ City,US HQ State,Date Added S&P500,CIK,Founded,Filing Accession No.,Filing Date No.,Fiscal Year,Source Form,Revenue (Millions USD),Net Income (Millions USD),Total Liabilities (Millions USD),Total Shareholders Equity (Millions USD),Cash Flow from Operating (Millions USD),Debt-to-Equity Ratio (%),Debt-to-Equity Ratio (%) Category,Last Adjusted Close 2023 (USD),Total Return 2023 (USD),Rolling 3-Year Beta vs. SP500,Annual Volatility,Annual Volatility Category,Mean Daily Volume,State FIPS,Population Total,Median Household Income,Median Household Income Category,Unemployment Rate (%),Education Age 25+ Total,Education Level < 9th Grade,Education Level < 9th Grade (%),Education Level 9 - 12th Grad No Diploma,Education Level 9 - 12th Grad No Diploma (%),Education Level High School Graduate,Education Level High School Graduate (%),Education Level Some College No Degree,Education Level Some College No Degree (%),Education Level Associates Degree,Education Level Associates Degree (%),Education Level Bachelors,Education Level Bachelors (%),Education Level Graduate & Professional,Education Level Graduate & Professional (%),State,Median Earnings All Workers Age 25+ (USD),Median Earnings Less Than High School Diploma (USD),Median Earnings High School Diploma (USD),Median Earnings Some College or Associates (USD),Median Earnings Bachelors (USD),Median Earnings Graduate & Professional (USD),SeriesID,Sector Inflation Rate (YoY),Sector Inflation Rate (YoY) Category,US CPI (Annualized),US Consumer Inflation (Mean),US Market Volatility (Mean),Effective Fed Funds Rate (Mean)
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Santa Clara,California,2000-06-05,0001090872,1999,0001090872-24-000049,2024-12-20,2023,10-K,6833.0,1240.0,4918.0,5845.0,1772.0,0.841402908,Low,137.48971557617188,-0.066647718,1.0555101070343127,0.2683633476938065,Medium,1845030.0,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CPIMEDSL,0.46,High,4.12,2.6,16.85,5.026
AAL,American Airlines Group,Industrials,Passenger Airlines,Fort Worth,Texas,2015-03-23,0000006201,1934,0000006201-24-000010,2024-02-21,2023,10-K,52788.0,822.0,63058.0,-5202.0,3803.0,-12.1218762,Negative,13.739999771118164,0.078492937,1.4204651748534165,0.3527462796050452,High,27744492.0,48,30503301,75780,Medium,4.394172351,20029447,593529,2.9632820117300294,218681,1.0917974919627087,405985,2.026940633957593,539488,2.6934742631686235,259479,1.2954875888485589,301631,1.5059377325794363,5270493,26.313721991425925,48,50193,30388,37086,45447,66474,83517,CUSR0000SAS4,10.77,High,4.12,2.6,16.85,5.026
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",Cupertino,California,1982-11-30,0000320193,1977,0000320193-23-000106,2023-11-03,2023,10-K,383285.0,96995.0,290437.0,62146.0,110543.0,4.673462492,High,190.9136505126953,0.5479822883659795,1.273340673912054,0.1995434759853404,Medium,59223547.6,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
ABBV,AbbVie,Health Care,Biotechnology,North Chicago,Illinois,2012-12-31,0001551152,1888,0001551152-24-000011,2024-02-20,2023,10-K,54318.0,4863.0,134711.0,10360.0,22839.0,13.00299228,High,145.4952850341797,-0.007079334,0.3665900185090442,0.1961535892260012,Medium,5503538.0,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,CPIMEDSL,0.46,High,4.12,2.6,16.85,5.026
ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago,Illinois,1957-03-04,0000001800,1888,0001628280-24-005348,2024-02-16,2023,10-K,40109.0,5723.0,73214.0,38603.0,7261.0,1.896588348,Moderate,106.38055419921876,0.0245659752392299,0.7316905629101685,0.1986530317891122,Medium,5171784.0,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,CPIMEDSL,0.46,High,4.12,2.6,16.85,5.026
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,New York City,New York,2022-11-01,0000947484,1995,0000947484-24-000020,2024-02-23,2023,10-K,13634.0,4443.0,40551.0,18353.0,5749.0,2.209502534,High,70.62322998046875,0.1890809946337563,0.6544992669204557,0.2559638677241951,Medium,1946658.4,36,19571216,82095,High,5.012532493757498,13885155,409137,2.946578558179581,116055,0.8358207020375357,151601,1.0918207250837315,278007,2.002188668401613,162577,1.170869176469402,177772,1.2803025965500563,3692296,26.59168010728004,36,55643,30707,39771,47596,74504,91457,DIFSRG3A086NBEA,4.29,High,4.12,2.6,16.85,5.026
ACN,Accenture,Information Technology,IT Consulting & Other Services,Chicago,Illinois,2011-07-06,0001467373,1989,0001467373-24-000278,2024-10-10,2023,10-K,16224.3,1973.44,51245.31,25692.84,9524.27,1.99453661,Moderate,340.4969177246094,0.3190452760094464,1.1571617342273044,0.2183587467418272,Medium,2220115.2,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
ADBE,Adobe Inc.,Information Technology,Application Software,San Jose,California,1997-05-05,0000796343,1982,0000796343-24-000006,2024-01-17,2023,10-K,19409.0,5428.0,13261.0,16518.0,7302.0,0.802821165,Low,596.5999755859375,0.7707466217761552,1.475691489691948,0.3184507925041709,High,3112659.6,6,38965193,95521,High,5.516376425939725,26969649,1031981,3.826453210421834,389392,1.443815601752919,685526,2.5418424985805337,622176,2.3069488223595345,269377,0.9988153720502628,334480,1.2402089474727684,6266484,23.235319080348432,6,54363,31490,40803,49673,78278,104353,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
ADI,Analog Devices,Information Technology,Semiconductors,Wilmington,Massachusetts,1999-10-12,0000006281,1965,0000006281-23-000203,2023-11-21,2023,10-K,12305.54,3314.58,48794.48,35565.12,4817.63,1.371975689,Moderate,192.75863647460935,0.2455604717946189,1.2972171068212772,0.2617603562734501,Medium,3350818.8,25,7001399,99858,High,3.942813633891204,4975152,102903,2.0683388165828904,41076,0.8256230161410144,36667,0.7370026081615194,77115,1.5500028943839304,43796,0.8802947126037556,46015,0.9248963649753816,1215772,24.43688152643377,25,65055,32493,43761,51190,79985,99844,CUSR0000SEEE,-2.03,Deflation,4.12,2.6,16.85,5.026
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Chicago,Illinois,1957-03-04,0000007084,1902,0000007084-24-000051,2024-11-18,2023,10-K/A,24072.0,1170.0,54631.0,24145.0,4460.0,2.262621661,High,67.65234375,-0.175774791,0.632180169,0.2210015452037616,Medium,3008985.6,17,12549689,80306,High,4.719960871,8710996,187043,2.147205669707574,41063,0.4713927087097732,94774,1.0879812136293026,129093,1.4819545319501926,85402,0.980393057,116112,1.3329359811438326,2373516,27.24735495229248,17,53090,34096,40285,46555,71127,86416,CUUR0000SAF11,5.02,High,4.12,2.6,16.85,5.026
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,Roseland,New Jersey,1981-03-31,0000008670,1949,0000008670-24-000024,2024-08-07,2023,10-K,18012.2,3412.0,47461.9,3509.1,4207.6,13.52537688,High,224.46353149414065,0.002545476,0.90288119,0.2098165509938683,Medium,1757076.4,34,9290841,99781,High,4.731033422838887,6511081,136763,2.100465345155436,48745,0.7486468068819908,68540,1.0526669841766674,96268,1.4785256088812289,53909,0.8279577538660632,70111,1.0767950821069496,1772009,27.215281149167087,34,61141,33066,41528,50275,80114,101149,CUSR0000SAS4,10.77,High,4.12,2.6,16.85,5.026
