State,Total_Pop_All_Ages,STATE,MedianEarnings_AllWorkers25plus,MedianEarnings_LessThan_HS,MedianEarnings_HS_Graduate,MedianEarnings_SomeCollege_or_Associates,MedianEarnings_Bachelors,MedianEarnings_Graduate_or_Professional
Alabama,5108468,01,45781,29479,36615,41938,60156,70682
Alaska,733406,02,53103,35109,43086,49114,67221,86402
Arizona,7431344,04,50828,32052,40648,46493,66683,81942
Arkansas,3067732,05,42469,30687,36012,40728,56314,70510
California,38965193,06,54363,31490,40803,49673,78278,104353
Colorado,5877610,08,59076,39959,42541,49707,73072,86024
Connecticut,3617176,09,60473,32471,42120,49709,75975,91993
Delaware,1031890,10,51089,31982,38872,46422,64157,84475
District of Columbia,678972,11,93761,36900,40715,56964,95628,122926
Florida,22610726,12,46301,30360,36384,42629,58009,76981
Georgia,11029227,13,49406,31156,36820,43051,64185,81353
Hawaii,1435138,15,51524,32456,41038,47067,61448,80803
Idaho,1964726,16,47035,35771,38530,42129,57342,77490
Illinois,12549689,17,53090,34096,40285,46555,71127,86416
Indiana,6862199,18,48641,33420,39496,46180,60573,74916
Iowa,3207004,19,49828,34315,40533,45703,60754,75037
Kansas,2940547,20,48154,34079,37333,41745,60620,71844
Kentucky,4526154,21,45640,27658,36636,42365,60185,67332
Louisiana,4573749,22,44339,28345,36132,41417,57107,68554
Maine,1395722,23,49548,36005,40817,45440,55592,72693
Maryland,6180253,24,61901,36146,42778,52094,76748,101230
Massachusetts,7001399,25,65055,32493,43761,51190,79985,99844
Michigan,10037261,26,49307,32015,36823,42435,64810,81852
Minnesota,5737915,27,56612,36832,42435,50406,71254,83613
Mississippi,2939690,28,41175,28257,32125,39281,52266,60782
Missouri,6196156,29,47569,31777,37420,43300,61418,72423
Montana,1132812,30,46301,34233,39263,41797,54642,70066
Nebraska,1978379,31,50478,39451,39565,45546,61239,72775
Nevada,3194176,32,46956,35789,39090,45855,60775,83420
New Hampshire,1402054,33,59090,43513,47266,51883,71325,86168
New Jersey,9290841,34,61141,33066,41528,50275,80114,101149
New Mexico,2114371,35,42156,28500,33075,38978,55421,74674
New York,19571216,36,55643,30707,39771,47596,74504,91457
North Carolina,10835491,37,48491,30665,36723,41941,62338,77838
North Dakota,783926,38,52196,39889,41665,50273,61164,75821
Ohio,11785935,39,50072,31513,37990,44817,64933,80099
Oklahoma,4053824,40,44059,30289,35929,41685,55663,68832
Oregon,4233358,41,51388,33681,39308,45326,67100,86858
Pennsylvania,12961683,42,51475,32598,40336,46281,65678,83961
Puerto Rico,3205691,72,22390,13188,16957,20342,30562,43242
Rhode Island,1095962,44,55673,31766,43157,51094,68084,87103
South Carolina,5373555,45,46397,30029,36740,42277,60590,68792
South Dakota,919318,46,47960,29330,39793,45724,56517,67405
Tennessee,7126489,47,47036,30634,37693,42844,61189,74239
Texas,30503301,48,50193,30388,37086,45447,66474,83517
Utah,3417734,49,52189,36901,41940,46700,63247,92065
Vermont,647464,50,52216,39571,43810,47566,56741,72957
Virginia,8715698,51,56944,32661,41061,47086,74468,99947
Washington,7812880,53,61328,36828,44866,52013,78485,102656
West Virginia,1770071,54,43837,31134,35532,40817,56648,65778
Wisconsin,5910955,55,51525,35394,41604,48610,64320,76254
Wyoming,584057,56,47121,40433,40102,41392,58331,70537
