State,state_fips,population_total,median_household_income,unemployment_rate_percent,educ_25plus_total,education_less_than_9th_count,education_less_than_9th_percent,education_ninth_to_twelfth_no_diploma_count,education_ninth_to_twelfth_no_diploma_percent,education_high_school_grad_count,education_high_school_grad_percent,education_some_college_no_degree_count,education_some_college_no_degree_percent,education_associates_count,education_associates_percent,education_bachelors_count,education_bachelors_percent,education_grad_professional_count,education_grad_professional_percent
West Virginia,54,1770071,55948,4.520284735197779,1259219,16082,1.2771408309436245,3307,0.2626231020974112,7517,0.5969573203708013,35953,2.8551824583333003,28351,2.251474922154129,27664,2.196917295561773,519967,41.29281721447977
Arkansas,05,3067732,58700,4.160218942756753,2078254,29677,1.4279775234403496,9193,0.4423424663202862,20417,0.9824111970914046,52184,2.5109539065003603,32080,1.5436034286473164,42999,2.068996378690959,747078,35.947386604332294
Louisiana,22,4573749,58229,4.875498994633832,3102893,52431,1.6897456663829529,15669,0.5049803522067954,31669,1.020628168615547,80825,2.6048271725773335,65442,2.109064025088845,77429,2.495380923544576,1081053,34.84016367950812
Pennsylvania,42,12961683,73824,4.238358097650372,9171006,124489,1.357419240593671,21923,0.2390468395724526,38000,0.4143493091161428,148416,1.6183175542574064,110152,1.2010896078358253,125673,1.3703294927513952,3181388,34.68962946922072
Kentucky,21,4526154,61118,4.112882052,3107275,44902,1.4450603824894803,10359,0.33337892526409796,20478,0.6590340410810115,92295,2.9702874705328624,57678,1.856224505394598,56047,1.8037347836931072,1069626,34.42328084897539
Indiana,18,6862199,69477,3.6405304730709647,4614970,74753,1.619793844813726,9506,0.20598183736839026,25916,0.5615637804796131,103154,2.235204129170937,70032,1.517496321752904,73283,1.5879409833650056,1568414,33.98535635117888
Ohio,39,11785935,67769,4.038141849854832,8172692,104311,1.2763358756209093,12447,0.15229987866910927,24177,0.29582663827292155,139355,1.7051297173562887,105606,1.292181327768133,137764,1.6856624475754134,2738069,33.502657386329986
Tennessee,47,7126489,67631,3.9637595302665556,4931967,79187,1.6055865742816204,22074,0.4475699046648123,35341,0.7165700824843313,111244,2.2555706475732706,69931,1.4179129746812986,86898,1.7619339302148616,1611466,32.673900697226884
Oklahoma,40,4053824,62138,4.586124151136113,2684421,43726,1.6288801197725693,11210,0.4175947066425125,25977,0.9676947095854189,55650,2.0730727408256753,42151,1.5702082497492011,51228,1.9083444809886378,867739,32.32499671251268
Alabama,01,5108468,62212,4.012489557,3498967,56559,1.6164485118036267,8266,0.23624115346043562,24339,0.6956053029365524,78559,2.245205513512988,67401,1.9263113941914858,76400,2.183501587754329,1120932,32.03608379273082
Mississippi,28,2939690,54203,4.812670180535628,1980147,32653,1.6490189869741994,7563,0.3819413407186436,16161,0.8161515281441225,54717,2.763279695901365,42872,2.165091783589804,47471,2.397347267652351,623299,31.477410515481928
Iowa,19,3207004,71433,2.772512670053184,2166425,26969,1.2448619269072319,7449,0.3438383512007108,7184,0.3316062176165803,33079,1.5268933842620906,19404,0.895669132,21140,0.9758011470510173,678873,31.336095179846986
Wisconsin,55,5910955,74631,2.766320236,4116216,46095,1.1198391921123672,10237,0.24869929080495293,16255,0.39490153092063196,43932,1.0672909293389852,33467,0.8130525706133982,45314,1.1008654550684414,1278338,31.056144769856587
Missouri,29,6196156,68545,3.4240465272622247,4255810,50627,1.1895972799537573,6661,0.15651544594331043,14444,0.33939485080395976,74503,1.7506185661483948,64882,1.524551143025652,64608,1.518112885678637,1314700,30.891886620878285
Maine,23,1395722,73733,3.168814417142287,1039460,7220,0.6945914224693591,1063,0.10226463740788487,2005,0.1928886152425298,15206,1.462874954303196,8651,0.8322590575875934,7077,0.6808342793373483,316919,30.48881149827795
Delaware,10,1031890,81361,3.4631073406314066,731427,11160,1.5257845280526972,3557,0.48630963855586407,3805,0.5202159614014796,12754,1.7437146837620159,7551,1.0323654992227522,10069,1.3766240513407353,222281,30.390045759863938
Alaska,02,733406,86631,4.8227790558318295,493892,7033,1.4239955293869915,941,0.19052748374138476,1638,0.3316514541640682,5305,1.0741214678512712,4932,0.9985988839665352,7466,1.5116665181861622,149753,30.321001352522416
