Symbol,YahooSymbol,LastAdjClose_2023,TotalReturn_2023,Rolling3Y_Beta_vs_SP500,AnnualVolatility_2023,MeanDailyVolume_2023,Status,Note
A,A, 137.49 ,-6.6648%,1.055509893,0.268363697,1845030,OK,
AAPL,AAPL, 190.91 ,54.7982%,1.273340756,0.199543256,59223547.6,OK,
ABBV,ABBV, 145.50 ,-0.7079%,0.36658869,0.1961535,5503538,OK,
ABNB,ABNB, 136.14 ,60.3534%,1.627170959,0.425032894,6181707.2,OK,
ABT,ABT, 106.38 ,2.4566%,0.731691692,0.198653051,5171784,OK,
ACGL,ACGL, 70.62 ,18.9081%,0.654499267,0.255963868,1946658.4,OK,
ACN,ACN, 340.50 ,31.9045%,1.157161215,0.218358735,2220115.2,OK,
ADBE,ADBE, 596.60 ,77.0747%,1.47569149,0.318450793,3112659.6,OK,
ADI,ADI, 192.76 ,24.5560%,1.29721662,0.261760523,3350818.8,OK,
ADM,ADM, 67.65 ,-17.5775%,0.632181113,0.221001533,3008985.6,OK,
ADP,ADP, 224.46 ,0.2545%,0.902881026,0.209816656,1757076.4,OK,
ADSK,ADSK, 243.48 ,31.5042%,1.58986874,0.312026992,1402537.2,OK,
AEE,AEE, 68.43 ,-15.6572%,0.458181856,0.219878802,1526511.6,OK,
AEP,AEP, 76.01 ,-10.9012%,0.48063979,0.208303589,3111331.2,OK,
AES,AES, 17.64 ,-29.2775%,1.111646871,0.342117552,6139890.8,OK,
AFL,AFL, 79.44 ,17.9533%,0.711811699,0.198952095,2413950,OK,
AIG,AIG, 65.28 ,10.3304%,0.974418107,0.26179844,3940188,OK,
AIZ,AIZ, 163.99 ,35.0746%,0.600082793,0.276819634,395578,OK,
AJG,AJG, 221.55 ,21.3349%,0.788407529,0.191054457,857310,OK,
AKAM,AKAM, 118.35 ,39.2844%,0.776470749,0.239150885,1559329.2,OK,
ALB,ALB, 139.80 ,-32.0574%,1.49741734,0.476576411,2249986,OK,
ALGN,ALGN, 274.00 ,29.0748%,1.713355277,0.560154428,929079.2,OK,
ALL,ALL, 135.11 ,5.5445%,0.61426309,0.267991809,1782554,OK,
ALLE,ALLE, 123.90 ,19.5448%,1.008045229,0.262172381,784230.4,OK,
AMAT,AMAT, 159.53 ,69.1018%,1.790119786,0.338946861,5902540.4,OK,
AMCR,AMCR, 8.93 ,-15.0275%,0.811284947,0.215993772,7783684.4,OK,
AMD,AMD, 147.41 ,130.2562%,1.980423373,0.46939614,61603460,OK,
AME,AME, 163.02 ,18.1303%,0.876844245,0.183128128,977094.4,OK,
AMGN,AMGN, 272.69 ,13.8936%,0.422117306,0.207660232,2460316.4,OK,
AMP,AMP, 371.24 ,24.2708%,1.284094712,0.256469054,530108,OK,
AMT,AMT, 205.49 ,3.9917%,0.809136209,0.267962494,2123144.8,OK,
AMZN,AMZN, 151.94 ,77.0450%,1.512850818,0.330266823,58837791.6,OK,
ANET,ANET, 58.88 ,94.7812%,1.350587565,0.456941093,10480801.6,OK,
AON,AON, 286.86 ,-2.0705%,0.78402142,0.198122146,849178.8,OK,
